instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"LIBERMAN, ZOE",3.3,3.1,96,56%,https://www.ratemyprofessors.com/professor/2202602,Psychology,"SKIP CLASS? YOU WON'T PASS., LECTURE HEAVY, TEST HEAVY, CLEAR GRADING CRITERIA, AMAZING LECTURES, LOTS OF HOMEWORK, CARING"
"MOELLER, HOLLY",4.4,3.6,11,81%,https://www.ratemyprofessors.com/professor/2386182,Biology,"CARING, AMAZING LECTURES, LECTURE HEAVY, GROUP PROJECTS, ACCESSIBLE OUTSIDE CLASS, LOTS OF HOMEWORK, TEST HEAVY, ONLINE SAVVY"
"MOORE, KATIE",4.0,2.0,29,75%,https://www.ratemyprofessors.com/professor/2656708,History,"LECTURE HEAVY, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, GET READY TO READ, AMAZING LECTURES, TOUGH GRADER, SO MANY PAPERS"
"SMITH, IKUKO",3.8,3.0,5,60%,https://www.ratemyprofessors.com/professor/2500627,Psychology,"CARING, TEST HEAVY, AMAZING LECTURES, CLEAR GRADING CRITERIA, INSPIRATIONAL, SO MANY PAPERS, HILARIOUS, ACCESSIBLE OUTSIDE CLASS"
"SMITH, STEVE",5.0,2.0,2,100%,https://www.ratemyprofessors.com/professor/2319672,Psychology,"AMAZING LECTURES, CLEAR GRADING CRITERIA, INSPIRATIONAL"
"MORRISSEY, MEGHAN",5.0,2.3,4,100%,https://www.ratemyprofessors.com/professor/2914997,Biology,"CLEAR GRADING CRITERIA, AMAZING LECTURES, INSPIRATIONAL, LECTURE HEAVY, TEST HEAVY"
"HAIDER, JANNA",3.5,2.9,12,66%,https://www.ratemyprofessors.com/professor/2936369,History,"PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS, TOUGH GRADER, HILARIOUS, CARING, GET READY TO READ, LECTURE HEAVY"
"ALEXANDER, ANDY",4.4,3.0,5,80%,https://www.ratemyprofessors.com/professor/3017006,Psychology,"LECTURE HEAVY, GROUP PROJECTS, HILARIOUS, CARING, EXTRA CREDIT, AMAZING LECTURES, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, CLEAR GRADING CRITERIA, INSPIRATIONAL"
"ZIMMERMAN, AARON",4.0,2.8,120,58%,https://www.ratemyprofessors.com/professor/377357,Philosophy,"GRADED BY FEW THINGS, GET READY TO READ, HILARIOUS, AMAZING LECTURES, TOUGH GRADER, LECTURE HEAVY, PARTICIPATION MATTERS, SO MANY PAPERS"
"SPICKARD, PAUL",3.9,3.0,101,70%,https://www.ratemyprofessors.com/professor/54687,History,"GET READY TO READ, INSPIRATIONAL, HILARIOUS, RESPECTED, AMAZING LECTURES, PARTICIPATION MATTERS, CARING"
"LITTLE, DAN",4.2,2.5,13,100%,https://www.ratemyprofessors.com/professor/646593,Chemistry,"AMAZING LECTURES, CARING, RESPECTED, LECTURE HEAVY, CLEAR GRADING CRITERIA, ACCESSIBLE OUTSIDE CLASS"
"TAMAI, LILLY",5.0,3.0,2,100%,https://www.ratemyprofessors.com/professor/2769475,Asian American Studies,"GET READY TO READ, AMAZING LECTURES, GIVES GOOD FEEDBACK, CARING, ACCESSIBLE OUTSIDE CLASS"
"AUE, DONALD",3.0,3.6,129,88%,https://www.ratemyprofessors.com/professor/124168,Science,"SKIP CLASS? YOU WON'T PASS., CLEAR GRADING CRITERIA, LECTURE HEAVY, INSPIRATIONAL, HILARIOUS, GET READY TO READ, TOUGH GRADER, CARING"
"RALEY, RITA",4.1,3.3,45,40%,https://www.ratemyprofessors.com/professor/651406,English,"TOUGH GRADER, GET READY TO READ, AMAZING LECTURES, INSPIRATIONAL, WOULD TAKE AGAIN, SO MANY PAPERS, ONLINE SAVVY, GROUP PROJECTS"
"YU, GUO",2.8,3.3,29,44%,https://www.ratemyprofessors.com/professor/2631936,Statistics,"TOUGH GRADER, GRADED BY FEW THINGS, GROUP PROJECTS, AMAZING LECTURES, EXTRA CREDIT, GIVES GOOD FEEDBACK"
"AL OMARI, RASHA",3.8,3.5,6,50%,https://www.ratemyprofessors.com/professor/1307566,Religion,"GET READY TO READ, SKIP CLASS? YOU WON'T PASS., LOTS OF HOMEWORK, PARTICIPATION MATTERS"
"EL OMARI, RACHA",4.8,3.0,4,100%,https://www.ratemyprofessors.com/professor/2309169,Religion,"GET READY TO READ, GIVES GOOD FEEDBACK, PARTICIPATION MATTERS, LOTS OF HOMEWORK, RESPECTED, LECTURE HEAVY"
"MALKHI, DAHLIA",5.0,3.0,1,100%,https://www.ratemyprofessors.com/professor/3105910,Computer Science,None
"JIN, YUXIN",5.0,2.0,1,100%,https://www.ratemyprofessors.com/professor/3105697,Communication,"PARTICIPATION MATTERS, AMAZING LECTURES, CARING"
"SURI, SUBHASH",4.6,2.8,28,90%,https://www.ratemyprofessors.com/professor/583532,Computer Science,"AMAZING LECTURES, RESPECTED, CLEAR GRADING CRITERIA, SKIP CLASS? YOU WON'T PASS., CARING, GRADED BY FEW THINGS, LOTS OF HOMEWORK, TEST HEAVY"
"YORK, BOB",4.6,2.9,21,100%,https://www.ratemyprofessors.com/professor/362322,Engineering,"GIVES GOOD FEEDBACK, LOTS OF HOMEWORK, HILARIOUS"
